City,Temperature,Humidity,Pressure,Wind_Speed,Cloud_Cover,Weather,Rainfall,Year,Month,Day,Hour,DayOfWeek,Season
26,30.5,58,1010.2,49.32,100,1,0.0,2024,11,23,10,2,1
25,22.6,95,949.2,21.96,50,0,0.0,2009,9,24,7,4,1
33,14.0,72,947.9,32.76,0,0,0.0,2005,11,20,6,3,1
45,21.8,75,980.7,10.8,63,1,0.0,2007,12,15,3,2,3
44,23.1,25,947.9,31.68,14,0,0.0,2012,1,28,15,2,3
25,24.2,86,944.3,55.08,98,1,0.0,2000,6,22,18,4,0
44,29.2,19,951.4,32.4,23,0,0.0,2013,3,25,11,1,2
41,20.1,85,1008.9,40.68,0,0,0.0,2011,3,10,3,4,2
23,23.9,94,986.0,55.8,100,2,1.1,2003,10,7,3,5,1
12,20.7,68,989.5,27.36,0,0,0.0,2010,1,25,18,1,3
33,21.6,100,945.1,19.08,100,1,0.0,2025,11,1,4,2,1
24,28.6,67,1007.7,23.4,17,0,0.0,2019,12,18,17,6,3
17,20.4,98,897.6,43.92,81,2,0.1,2019,6,9,0,3,0
41,28.4,80,1000.0,61.56,96,2,0.1,2025,7,9,17,6,0
7,14.3,95,912.7,33.84,8,0,0.0,2005,1,7,3,0,3
20,29.4,76,1000.1,30.24,80,1,0.0,2025,9,27,10,2,1
38,24.2,91,1000.4,6.48,34,0,0.0,2013,3,19,2,5,2
38,31.0,46,1001.8,25.2,100,1,0.0,2003,11,30,16,3,1
39,21.7,44,945.5,38.52,19,0,0.0,2020,12,28,20,1,3
29,27.2,81,1006.2,24.12,54,0,0.0,2020,4,26,6,3,2
18,23.4,82,957.8,33.48,28,0,0.0,2006,9,11,6,1,1
24,24.4,93,1010.5,11.88,100,2,2.1,2009,6,26,9,0,0
10,14.4,55,988.5,26.64,97,1,0.0,2025,11,30,3,3,1
7,21.6,83,908.7,21.24,18,0,0.0,2022,5,4,2,6,2
43,27.0,84,1004.6,55.44,100,2,0.3,2003,8,8,15,0,0
24,25.7,89,1009.5,14.76,75,1,0.0,2000,11,9,23,4,1
16,28.5,68,956.9,24.12,82,2,0.1,2019,10,3,11,4,1
39,22.5,93,947.9,16.56,100,2,1.5,2011,10,11,0,5,1
33,21.7,73,948.2,22.32,0,0,0.0,2011,12,2,8,0,3
23,27.0,81,993.5,30.24,41,0,0.0,1996,4,2,7,5,2
33,20.8,99,943.8,16.2,98,1,0.0,2017,9,6,2,6,1
43,24.6,94,1008.4,15.84,100,1,0.0,2021,10,18,20,1,1
19,25.7,84,977.3,83.88,9,0,0.0,2007,8,18,1,2,0
38,26.4,43,1000.6,33.84,0,0,0.0,2000,3,10,18,0,2
16,26.6,81,954.8,50.4,100,2,0.1,2023,9,21,9,4,1
11,14.5,82,899.5,20.16,0,0,0.0,2010,1,3,4,3,3
24,27.0,77,1008.0,6.48,6,0,0.0,2000,3,18,1,2,2
28,22.8,100,1009.8,4.68,95,1,0.0,2025,10,31,3,0,1
20,19.2,40,1006.6,39.24,0,0,0.0,1996,12,12,9,4,3
39,25.6,72,945.1,45.72,5,0,0.0,2025,5,7,20,6,2
5,27.0,52,949.5,14.04,0,0,0.0,2012,11,28,10,6,1
8,24.5,44,1011.7,32.04,0,0,0.0,2021,2,22,21,1,3
18,24.9,80,958.7,16.92,100,1,0.0,1997,9,8,1,1,1
32,37.7,24,973.7,23.76,0,0,0.0,2000,4,17,10,1,2
42,23.6,94,1007.6,84.24,99,2,0.6,1996,7,20,7,2,0
23,24.5,88,988.5,35.64,100,2,0.2,2000,7,2,7,3,0
3,23.8,44,976.9,39.24,94,1,0.0,2023,3,6,23,1,2
28,26.1,86,1009.5,37.8,100,2,0.9,1997,7,6,10,3,0
24,27.2,90,1011.3,9.36,14,0,0.0,2021,3,7,22,3,2
40,26.7,79,953.8,59.76,54,0,0.0,2007,9,25,10,5,1
25,30.5,32,949.7,7.92,63,1,0.0,2003,1,20,17,1,3
22,29.4,37,979.4,34.2,50,0,0.0,2009,12,12,14,2,3
27,35.3,24,981.0,57.24,5,0,0.0,1998,3,22,11,3,2
6,37.2,32,974.3,92.16,84,1,0.0,1996,7,13,18,2,0
15,21.0,94,937.8,62.64,100,2,2.3,2019,10,26,5,2,1
11,20.5,98,897.5,32.04,100,2,0.4,2003,6,17,23,5,0
8,19.9,67,1011.1,32.4,13,0,0.0,2007,11,30,5,0,1
15,21.0,63,941.8,33.48,39,0,0.0,2006,10,24,3,5,1
41,34.0,48,1002.1,74.16,0,0,0.0,2005,6,11,13,2,0
43,23.9,81,1008.1,26.64,33,0,0.0,2018,1,23,7,5,3
20,34.4,49,992.3,67.32,70,1,0.0,2010,6,20,17,3,0
42,29.5,77,1006.9,82.08,93,2,0.1,2019,6,17,14,1,0
14,12.7,48,997.8,23.04,35,0,0.0,1998,2,8,1,3,3
37,29.4,30,1004.9,40.32,92,1,0.0,2004,12,3,12,0,3
37,32.9,49,989.5,73.44,7,0,0.0,1998,6,6,20,2,0
14,27.2,86,982.1,14.4,19,0,0.0,2001,7,31,0,5,0
43,27.5,80,1004.0,32.04,74,2,0.1,2021,8,25,17,6,0
39,26.2,75,943.7,70.56,99,2,0.1,2002,5,19,12,3,2
26,24.9,92,1007.3,39.6,100,1,0.0,2003,7,23,7,6,0
39,20.0,98,945.4,9.0,99,1,0.0,2009,12,29,6,5,3
3,25.3,81,971.5,23.76,37,0,0.0,2013,10,15,20,5,1
46,27.6,69,926.4,49.68,94,1,0.0,2003,5,17,12,2,2
45,27.4,63,975.4,46.8,75,1,0.0,2009,9,26,4,2,1
37,20.5,59,1002.2,36.0,97,1,0.0,2007,12,6,1,4,3
38,29.9,50,1002.2,45.72,99,1,0.0,1996,12,17,15,5,3
2,33.9,16,955.0,41.04,0,0,0.0,2000,4,11,10,5,2
14,12.7,52,996.2,33.12,0,0,0.0,2000,2,13,19,3,3
45,24.1,58,981.7,36.36,15,0,0.0,1999,2,28,2,3,3
36,22.4,97,941.9,49.32,100,2,1.0,2010,7,31,3,2,0
22,29.8,73,970.0,32.76,77,2,0.1,2021,7,18,16,3,0
28,24.1,92,1006.4,7.92,98,2,0.3,1998,9,17,3,4,1
44,35.9,15,942.1,65.16,48,0,0.0,2004,4,17,15,2,2
36,23.5,95,942.2,55.8,100,2,0.1,1997,6,25,22,6,0
1,32.9,30,1009.8,15.84,0,0,0.0,2006,10,26,11,4,1
8,25.6,58,1007.4,44.28,66,1,0.0,2017,3,10,9,0,2
38,25.1,75,1004.2,12.24,80,1,0.0,1998,12,15,1,5,3
45,23.3,92,976.9,21.96,100,2,1.0,2013,8,28,6,6,0
12,23.2,63,984.2,34.92,100,1,0.0,2023,3,20,11,1,2
3,29.0,48,971.8,13.68,5,0,0.0,2021,11,5,16,0,1
2,16.1,50,960.2,33.48,5,0,0.0,2002,11,28,3,4,1
17,20.8,92,895.7,65.52,100,2,1.1,2022,9,11,14,3,1
46,23.3,83,925.5,31.32,65,1,0.0,2006,4,29,19,2,2
15,22.2,93,939.2,29.88,100,1,0.0,2017,8,11,6,0,0
38,30.3,51,999.6,65.88,100,1,0.0,2008,11,28,16,0,1
15,28.8,40,940.6,50.76,37,0,0.0,2007,12,14,13,0,3
37,25.6,86,988.8,56.88,59,0,0.0,2000,8,2,4,6,0
21,24.7,81,955.6,76.32,98,2,0.1,2004,5,19,0,6,2
43,23.7,94,1004.8,39.24,100,2,0.9,2001,8,3,18,0,0
5,12.8,81,946.9,26.64,18,0,0.0,2012,1,7,6,2,3
40,34.6,30,955.7,11.16,25,0,0.0,1997,3,28,15,0,2
12,23.4,88,977.1,4.68,42,0,0.0,2003,9,13,4,2,1
36,16.2,70,951.8,29.88,79,1,0.0,1996,12,27,3,0,3
12,6.8,82,991.3,38.16,64,1,0.0,2007,1,11,4,4,3
9,32.5,27,1010.8,38.88,71,1,0.0,2025,3,1,12,2,2
39,20.8,85,948.0,12.96,18,0,0.0,2018,10,24,7,6,1
0,18.9,85,977.0,21.6,10,0,0.0,2007,10,30,5,5,1
44,26.0,46,952.0,14.04,49,2,0.2,1999,2,16,14,5,3
34,15.9,79,991.4,24.84,0,0,0.0,2026,2,7,23,2,3
9,30.8,70,999.8,70.56,95,1,0.0,2002,7,2,18,5,0
41,32.0,39,1005.0,64.44,0,0,0.0,2014,4,12,17,2,2
3,29.8,74,970.3,13.32,58,2,0.2,2020,10,9,12,0,1
44,29.2,29,951.1,39.24,0,0,0.0,2011,10,29,12,2,1
24,26.7,85,1006.6,8.28,96,2,0.2,2008,5,7,18,6,2
5,23.1,31,945.1,61.56,8,0,0.0,2018,2,20,1,5,3
39,20.9,99,944.0,32.04,100,2,1.2,1996,10,19,7,2,1
0,34.1,16,976.4,24.84,0,0,0.0,1999,3,30,19,5,2
37,25.6,70,995.2,30.96,19,0,0.0,2010,10,24,22,3,1
7,27.0,39,910.7,21.24,57,0,0.0,1997,2,4,14,5,3
32,41.4,10,967.7,27.0,0,0,0.0,2002,4,23,16,5,2
40,37.5,28,959.7,42.48,46,0,0.0,2010,4,15,11,4,2
34,28.5,61,978.4,34.2,18,0,0.0,2020,6,7,0,3,0
27,29.0,22,978.3,26.28,0,0,0.0,2022,4,23,22,2,2
2,34.4,34,947.2,27.36,49,0,0.0,2020,9,23,15,6,1
2,29.6,72,944.6,15.12,16,0,0.0,2022,7,4,19,1,0
40,26.4,36,959.4,56.52,47,0,0.0,2013,2,9,23,2,3
36,27.0,60,952.0,17.64,99,1,0.0,2018,10,18,11,4,1
36,27.0,55,948.3,16.92,0,0,0.0,2021,5,5,7,6,2
1,32.5,66,993.7,47.52,28,2,0.2,2021,7,16,16,0,0
22,31.9,56,970.7,52.92,91,1,0.0,2020,7,7,15,5,0
45,26.0,81,981.6,24.84,98,1,0.0,1996,10,7,20,1,1
11,21.9,95,899.9,14.04,66,1,0.0,2016,3,20,2,3,2
22,25.6,83,970.3,41.4,100,2,0.2,2007,9,5,4,6,1
32,25.5,81,969.3,32.04,100,1,0.0,2017,8,12,3,2,0
11,19.6,72,900.1,23.76,0,0,0.0,2010,3,10,3,6,2
32,20.8,86,976.1,30.24,16,0,0.0,2015,12,12,7,2,3
9,25.5,91,996.1,49.32,100,2,0.7,2004,8,3,6,5,0
5,22.1,81,946.1,25.92,25,0,0.0,2002,9,17,23,5,1
18,20.1,60,970.0,12.96,91,1,0.0,2023,3,5,0,3,2
1,29.9,67,1000.9,24.48,80,1,0.0,2015,8,28,11,0,0
10,27.8,41,981.4,28.08,5,0,0.0,1999,9,28,5,5,1
0,32.0,61,974.6,12.24,92,1,0.0,2007,7,25,14,6,0
24,24.6,94,1005.8,20.88,100,2,4.3,2013,6,12,3,6,0
14,28.8,75,979.0,21.24,32,0,0.0,2021,8,5,5,4,0
45,24.4,61,986.1,50.4,21,0,0.0,2005,1,16,10,3,3
4,15.9,64,1006.3,24.12,0,0,0.0,2011,2,18,5,0,3
14,29.7,63,976.9,57.24,0,0,0.0,2009,8,7,5,0,0
4,28.1,76,998.4,16.92,33,0,0.0,2020,10,17,2,2,1
15,20.1,84,941.3,30.24,1,0,0.0,2006,3,14,0,5,2
33,29.0,42,947.2,23.4,80,1,0.0,2000,4,7,21,0,2
14,20.0,64,988.1,33.84,0,0,0.0,2005,3,27,22,3,2
6,27.9,88,976.3,18.0,100,2,0.1,2018,8,17,23,0,0
28,26.8,79,1009.8,16.56,22,0,0.0,2009,11,29,18,3,1
14,40.2,24,978.4,15.48,23,0,0.0,2005,6,9,15,4,0
16,20.9,59,959.7,55.8,7,0,0.0,1996,1,2,21,5,3
17,18.0,100,897.1,15.48,100,1,0.0,2006,9,22,3,0,1
14,31.9,30,982.8,37.8,3,0,0.0,2018,5,14,20,1,2
38,25.7,87,999.2,44.64,65,1,0.0,2008,6,5,5,4,0
45,21.8,58,984.4,28.8,63,1,0.0,1998,12,16,19,6,3
10,27.8,30,975.0,59.76,0,0,0.0,2019,5,1,5,6,2
45,24.2,79,982.8,32.4,99,1,0.0,2022,11,23,21,6,1
20,29.0,78,993.9,73.8,91,2,0.2,2001,7,29,15,3,0
16,25.8,80,949.4,20.16,93,1,0.0,2019,8,29,20,4,0
46,27.2,55,930.1,26.64,100,1,0.0,2023,12,16,11,2,3
36,28.8,26,951.3,23.4,0,0,0.0,2001,12,8,15,2,3
40,21.8,54,958.5,46.08,24,0,0.0,2019,12,13,3,0,3
46,26.5,78,925.3,34.56,95,1,0.0,2017,4,20,17,4,2
37,25.1,97,986.5,21.96,99,1,0.0,2007,9,4,4,5,1
38,23.9,98,1000.1,13.68,65,1,0.0,2011,11,2,4,6,1
7,21.3,95,908.4,29.52,80,1,0.0,2005,6,5,23,3,0
31,21.4,85,928.6,56.88,98,1,0.0,2002,9,9,7,1,1
5,15.0,72,944.5,25.2,0,0,0.0,2016,11,20,2,3,1
35,28.1,76,956.7,33.12,98,2,2.2,2021,7,10,14,2,0
39,22.3,96,944.0,18.36,100,2,0.1,1998,10,8,21,4,1
9,25.8,39,1013.9,32.4,0,0,0.0,2017,1,29,12,3,3
27,25.3,96,966.9,27.72,100,2,1.8,2019,8,7,4,6,0
46,18.6,70,932.3,26.64,0,0,0.0,2001,12,14,8,0,3
8,16.8,68,1009.0,28.8,0,0,0.0,2012,11,23,4,0,1
28,30.9,66,1008.9,28.44,46,0,0.0,2015,5,2,12,2,2
32,19.4,79,982.0,27.36,92,2,0.2,1996,1,1,8,1,3
31,21.5,64,931.2,39.24,18,0,0.0,2007,12,2,20,3,3
6,15.3,59,993.0,44.28,0,0,0.0,2016,11,16,5,6,1
10,23.2,31,989.9,17.64,59,0,0.0,2007,12,23,12,3,3
16,28.9,68,943.7,116.64,100,2,0.1,2019,8,8,12,4,0
25,21.2,57,949.6,30.24,100,1,0.0,2024,12,12,23,4,3
9,27.3,80,1002.2,41.04,86,1,0.0,2017,8,9,0,6,0
45,26.0,74,976.4,71.28,100,1,0.0,2006,8,29,8,5,0
45,26.1,76,979.2,24.48,97,1,0.0,2006,8,25,23,0,0
34,30.2,71,977.8,28.08,24,0,0.0,2010,8,24,11,5,0
46,21.5,95,926.3,50.4,100,2,1.0,2013,6,25,11,5,0
4,29.1,79,995.1,70.92,19,0,0.0,2022,6,20,20,1,0
29,25.4,91,1005.5,27.36,92,1,0.0,2000,11,2,4,4,1
24,24.7,91,1006.5,41.04,98,2,1.6,2014,8,29,18,0,0
38,25.8,84,1002.4,15.84,63,1,0.0,1999,3,31,8,6,2
1,16.3,48,1005.6,33.12,0,0,0.0,2018,2,4,3,3,3
33,21.2,89,943.3,25.92,8,0,0.0,2002,4,5,4,0,2
3,25.2,86,967.6,38.88,11,0,0.0,2001,8,26,22,3,0
30,24.2,67,1014.0,30.6,32,0,0.0,1997,12,22,18,1,3
26,24.8,94,1004.8,28.44,93,1,0.0,2020,7,2,4,4,0
31,27.5,45,932.0,33.48,7,0,0.0,2016,10,27,10,4,1
43,26.2,82,1007.8,50.04,97,2,0.2,1999,7,29,10,4,0
10,24.6,81,980.9,29.52,38,0,0.0,2003,9,30,3,5,1
5,24.7,49,948.8,23.04,31,0,0.0,1999,2,17,20,6,3
21,27.5,48,964.3,43.2,1,0,0.0,2019,11,24,11,3,1
13,32.5,35,928.9,13.68,34,0,0.0,2024,5,13,18,1,2
8,26.1,54,1010.1,16.92,64,1,0.0,1997,12,26,18,0,3
22,29.1,51,979.1,17.64,22,0,0.0,2018,12,9,16,3,3
17,22.9,82,897.5,14.4,93,1,0.0,2010,4,10,20,2,2
35,22.0,49,967.2,29.88,22,0,0.0,2024,11,27,18,6,1
36,23.5,90,945.1,68.04,99,2,0.1,2019,7,24,23,6,0
33,22.0,95,940.5,36.36,100,1,0.0,2009,8,11,3,5,0
29,23.9,95,1004.0,36.0,94,1,0.0,2017,10,2,4,1,1
8,17.1,94,1011.4,27.36,0,0,0.0,2022,2,8,1,5,3
40,22.6,40,958.1,42.12,0,0,0.0,2012,2,20,4,1,3
41,27.4,36,1011.6,36.72,0,0,0.0,2002,2,20,19,6,3
14,34.6,40,984.3,4.68,4,0,0.0,2004,6,10,11,4,0
28,28.3,73,1009.7,9.0,30,0,0.0,2006,3,22,9,6,2
8,28.4,18,1010.3,20.16,0,0,0.0,2000,3,19,9,3,2
45,28.6,65,975.6,35.64,0,0,0.0,2009,5,4,4,1,2
21,25.3,85,952.7,47.52,100,2,1.1,2006,6,29,18,4,0
44,29.1,66,940.6,48.24,92,2,0.1,2009,8,10,14,1,0
5,24.9,84,945.2,21.6,59,0,0.0,2020,10,21,8,6,1
18,30.4,29,953.9,21.24,0,0,0.0,2024,6,9,1,3,0
6,31.6,64,976.9,39.24,38,0,0.0,2021,7,15,19,4,0
39,32.2,38,942.6,10.44,50,0,0.0,2022,4,15,14,0,2
0,18.9,21,981.4,39.96,0,0,0.0,2003,3,5,6,6,2
26,29.1,69,1008.0,45.36,96,1,0.0,2017,11,15,11,6,1
17,19.1,97,899.1,42.12,41,0,0.0,2019,11,12,22,5,1
27,24.6,69,979.9,39.96,0,0,0.0,2022,10,3,7,1,1
31,22.9,87,924.7,41.76,100,1,0.0,2017,10,14,17,2,1
13,27.1,64,929.8,46.8,74,1,0.0,2009,6,16,11,5,0
35,34.1,41,958.8,12.96,28,0,0.0,2006,6,18,18,3,0
46,20.2,99,927.4,31.32,100,2,0.3,1999,6,15,22,5,0
16,26.4,84,949.2,18.0,18,0,0.0,1998,7,22,21,6,0
10,10.2,99,991.2,24.84,81,1,0.0,2013,2,24,5,3,3
35,24.9,51,970.8,22.68,0,0,0.0,2018,10,29,8,1,1
34,32.9,15,981.1,11.52,0,0,0.0,1999,4,11,9,3,2
37,39.9,12,991.7,40.68,23,0,0.0,2001,4,25,14,6,2
9,18.0,59,1011.8,45.72,0,0,0.0,2011,12,30,4,0,3
36,18.3,74,948.8,7.56,33,0,0.0,2001,1,7,3,3,3
31,26.6,62,931.5,58.68,100,1,0.0,2019,11,18,11,1,1
36,32.2,49,945.2,68.76,43,2,0.2,2023,6,23,13,0,0
36,20.9,69,955.3,24.12,14,0,0.0,2021,12,17,9,0,3
18,26.9,64,954.3,30.24,2,0,0.0,1997,6,12,2,4,0
14,18.9,90,992.7,21.96,0,0,0.0,2008,10,31,5,0,1
23,26.6,78,988.5,19.8,78,1,0.0,2013,8,2,20,0,0
11,19.8,96,899.5,15.48,63,1,0.0,2005,2,18,0,0,3
1,31.5,18,1005.7,31.32,0,0,0.0,2008,2,22,14,0,3
6,28.8,69,979.8,62.28,49,0,0.0,2011,9,17,16,2,1
19,15.7,63,987.0,18.36,86,1,0.0,1999,2,23,4,5,3
18,28.2,19,960.6,28.8,0,0,0.0,2024,5,16,4,4,2
40,24.3,92,950.4,37.8,100,2,1.7,1996,6,14,0,0,0
46,22.0,96,927.0,25.56,97,1,0.0,2011,9,29,20,4,1
25,29.0,25,947.0,5.4,3,0,0.0,2016,11,5,17,2,1
6,14.1,40,992.4,44.64,1,0,0.0,2004,12,24,0,0,3
16,22.8,90,950.8,55.08,85,2,0.8,1999,9,5,23,3,1
30,29.2,68,1010.8,29.88,75,2,0.1,1997,5,23,9,0,2
32,29.3,48,976.7,26.64,93,1,0.0,1997,11,11,14,5,1
8,32.7,41,1006.2,7.92,36,0,0.0,2015,4,15,17,6,2
21,41.7,10,954.1,38.52,62,1,0.0,2006,5,14,16,3,2
31,21.4,92,928.1,35.64,99,1,0.0,2017,8,2,3,6,0
15,25.9,70,944.2,27.0,5,0,0.0,2024,12,9,9,1,3
31,22.0,45,932.0,16.92,0,0,0.0,1997,3,2,8,3,2
43,23.8,91,1007.8,9.0,83,2,0.1,1997,7,13,1,3,0
24,25.1,92,1009.9,24.84,100,2,0.3,2006,7,15,8,2,0
6,18.6,58,994.0,47.52,22,0,0.0,2007,12,2,8,3,3
1,24.4,55,1005.6,43.2,10,0,0.0,2014,11,12,6,6,1
43,24.1,94,1005.2,45.72,100,2,1.4,2018,8,17,5,0,0
17,20.2,86,896.1,19.44,98,2,0.1,2002,10,12,17,2,1
46,22.5,94,926.8,18.36,100,1,0.0,2023,5,4,21,4,2
32,38.4,10,976.3,46.44,0,0,0.0,2009,4,26,10,3,2
29,25.3,90,1006.6,23.04,56,0,0.0,2011,3,14,4,1,2
35,28.9,74,961.1,20.52,100,2,0.1,2017,10,2,17,1,1
40,36.7,18,956.9,23.76,35,0,0.0,2018,3,27,19,5,2
5,37.0,19,942.1,36.0,13,0,0.0,2005,5,7,13,2,2
46,24.1,87,923.1,22.32,96,1,0.0,2017,9,8,18,0,1
2,32.8,48,947.2,66.6,1,0,0.0,2007,6,12,10,5,0
22,25.2,93,969.5,18.72,100,2,1.3,2024,6,23,4,3,0
43,27.0,56,1010.6,65.52,92,1,0.0,2025,2,27,7,4,3
29,32.5,51,1008.9,40.32,45,0,0.0,2004,3,12,12,0,2
28,23.7,76,1013.6,15.48,24,0,0.0,2007,1,25,8,4,3
29,23.9,92,1009.7,14.76,51,0,0.0,1999,2,4,7,4,3
23,32.6,41,997.9,29.16,0,0,0.0,2017,2,22,11,6,3
29,24.9,92,1006.4,54.0,100,2,0.8,2012,6,19,19,5,0
23,27.0,82,992.0,42.12,71,1,0.0,2018,4,19,4,4,2
34,33.3,32,981.3,40.68,11,0,0.0,2012,4,18,14,6,2
16,14.6,63,955.7,35.28,35,0,0.0,2011,12,22,4,4,3
42,26.9,78,1006.5,78.12,100,1,0.0,2014,8,7,14,4,0
32,24.9,32,977.5,16.56,0,0,0.0,2021,2,23,21,5,3
33,17.7,85,945.9,12.96,0,0,0.0,2012,12,12,3,6,3
0,29.5,25,982.5,23.4,0,0,0.0,2026,2,9,16,1,3
16,21.7,92,953.1,21.96,98,1,0.0,2014,9,25,5,4,1
38,25.3,91,999.1,46.08,99,2,0.5,2008,7,7,23,1,0
31,20.0,94,930.4,12.96,99,1,0.0,2023,1,24,22,5,3
11,20.7,93,898.0,43.92,99,2,3.2,2021,10,9,13,2,1
12,33.9,15,977.2,31.32,92,1,0.0,2013,5,1,18,6,2
1,31.8,58,996.4,69.12,100,1,0.0,2023,6,18,20,3,0
7,28.2,35,911.0,31.32,44,0,0.0,2000,1,15,16,2,3
6,22.6,32,991.0,62.28,0,0,0.0,2012,11,29,20,4,1
41,28.0,29,1011.1,42.84,0,0,0.0,2025,1,12,16,3,3
7,20.4,89,913.8,42.84,79,1,0.0,2012,12,5,21,6,3
29,23.9,96,1008.4,11.52,97,2,0.3,2000,8,30,23,6,0
30,27.9,78,1003.6,63.0,100,2,0.1,2002,7,11,18,4,0
18,21.9,26,961.3,28.44,0,0,0.0,2005,4,18,5,1,2
38,27.9,72,1001.1,40.32,58,0,0.0,1996,10,21,10,1,1
44,18.7,65,949.2,28.8,63,1,0.0,2014,11,11,5,5,1
8,18.2,63,1011.4,28.8,0,0,0.0,2017,1,30,2,1,3
32,12.8,71,981.7,25.92,73,1,0.0,2023,12,20,2,6,3
39,30.0,38,946.8,10.08,51,0,0.0,2014,1,18,15,2,3
30,28.5,57,1010.4,42.12,0,0,0.0,2014,12,5,18,0,3
22,28.8,62,977.9,56.88,100,1,0.0,2020,10,6,9,5,1
1,25.3,94,1000.4,31.32,100,2,0.1,2018,9,1,21,2,1
8,15.1,95,1010.2,23.04,0,0,0.0,2020,12,24,7,4,3
24,23.0,83,1009.3,20.16,91,1,0.0,2009,12,11,7,0,3
0,26.0,47,974.4,22.68,0,0,0.0,1996,3,26,2,5,2
44,26.5,80,938.0,40.32,99,1,0.0,2011,8,5,20,0,0
35,26.2,45,966.4,25.92,16,0,0.0,2003,2,10,20,1,3
31,20.7,95,923.8,70.56,100,2,0.8,2000,7,12,1,6,0
11,27.4,59,901.6,28.8,39,0,0.0,1998,4,18,20,2,2
11,25.0,74,897.4,46.8,12,0,0.0,1998,6,5,18,0,0
5,17.4,55,948.6,33.12,0,0,0.0,1996,12,9,21,1,3
3,27.7,74,970.7,53.28,20,0,0.0,2006,9,27,9,6,1
6,30.8,67,975.8,74.88,100,1,0.0,1998,7,5,19,3,0
43,29.2,79,1008.0,26.28,13,0,0.0,2016,10,28,12,0,1
35,23.2,73,966.9,22.32,1,0,0.0,1996,10,10,2,4,1
32,25.2,90,965.9,42.84,100,2,0.9,2011,6,26,22,3,0
10,35.3,45,978.5,66.96,4,0,0.0,2019,8,23,11,0,0
36,23.0,74,950.6,19.44,34,0,0.0,2018,10,13,7,2,1
41,25.1,78,1004.2,7.2,0,0,0.0,1999,4,19,5,1,2
24,26.7,87,1011.6,15.84,25,0,0.0,2016,11,12,20,2,1
13,22.8,84,930.5,23.76,61,1,0.0,2023,10,16,1,1,1
14,13.9,54,993.9,36.72,7,0,0.0,2023,1,13,17,0,3
38,25.9,96,996.8,11.16,100,2,1.3,2017,6,12,11,1,0
6,26.0,47,986.0,62.28,1,0,0.0,1996,10,7,2,1,1
41,34.5,53,1001.3,65.88,40,0,0.0,2022,6,10,13,0,0
